,title,ingredients,instructions,picture_link,nutrition_text
0,Famous Chicken Adobo,"['2 tablespoons vegetable oil', '1 (3 pound) chicken, cut into pieces', '1 large onion, quartered and sliced', '2 tablespoons minced garlic', '⅓ cup white vinegar', '⅔ cup low sodium soy sauce', '1 tablespoon garlic powder', '2 teaspoons black pepper', '1  bay leaf']","['Heat the vegetable oil in a large skillet over medium-high heat. Cook chicken pieces until golden brown on both sides, then remove. Stir in the onion and garlic; cook until they soften and brown, about 6 minutes.', 'Pour in vinegar and soy sauce, and season with garlic powder, black pepper, and bay leaf. Add the browned chicken, increase the heat to high, and bring to a boil. Reduce heat to medium-low, cover, and simmer until the chicken is tender and cooked through, 35 to 40 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fstatic.onecms.io%2Fwp-content%2Fuploads%2Fsites%2F43%2F2020%2F09%2F21%2F2778332_original.jpg,"361 calories; protein 32.8g; carbohydrates 7.2g; fat 21.7g; cholesterol 97mg; sodium 1039.7mg.
                                Full Nutrition"
1,Beef Stew VI,"['2 pounds cubed beef stew meat', '3 tablespoons vegetable oil', '4 cubes beef bouillon, crumbled', '4 cups water', '1 teaspoon dried rosemary', '1 teaspoon dried parsley', '½ teaspoon ground black pepper', '3 large potatoes, peeled and cubed', '4  carrots, cut into 1 inch pieces', '4 stalks celery, cut into 1 inch pieces', '1 large onion, chopped', '2 teaspoons cornstarch', '2 teaspoons cold water']","['In a large pot or dutch oven, cook beef in oil over medium heat until brown. Dissolve bouillon in water and pour into pot. Stir in rosemary, parsley and pepper. Bring to a boil, then reduce heat, cover and simmer 1 hour.', 'Stir potatoes, carrots, celery, and onion into the pot. Dissolve cornstarch in 2 teaspoons cold water and stir into stew. Cover and simmer 1 hour more.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F729310.jpg,"401 calories; protein 27.2g; carbohydrates 24.9g; fat 21.2g; cholesterol 79mg; sodium 436.3mg.
                                Full Nutrition"
2,Classic Bloody Mary,"['1 teaspoon sea salt', '1 cup ice cubes', '1 (1.5 fluid ounce) jigger vodka', '¾ cup spicy tomato-vegetable juice cocktail (e.g., V-8)', '2 dashes Worcestershire sauce', '1 dash hot pepper sauce (e.g. Tabasco™)', 'salt and pepper to taste', '1 stalk celery', '2  stuffed green olives']","['Salt the rim of a tall glass. To do so, pour salt onto a small plate, moisten the rim of the glass on a damp towel and press into the salt. Fill the glass with ice cubes.', 'In a cocktail mixer full of ice, combine the vodka, vegetable juice, Worcestershire sauce, hot pepper sauce, salt and pepper. Shake vigorously and strain into the glass. Garnish with a stalk of celery and olives stuck onto a toothpick.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5180584.jpg,"141 calories; protein 1.8g; carbohydrates 8.8g; fat 0.1g; cholesterol 0mg; sodium 2276.9mg.
                                Full Nutrition"
3,Beef Tips,"['3 tablespoons vegetable oil', '1  onion, chopped', '2 pounds cubed beef stew meat', '2 cups water', '¼ cup soy sauce', '¼ cup Worcestershire sauce', '1 teaspoon garlic powder', '1 teaspoon salt', '1 teaspoon ground black pepper', '1 (.75 ounce) packet dry brown gravy mix', '1 cup water']","['In a large skillet heat oil over high heat. Saute the onion until almost translucent.', 'Add the stew meat and cook on high heat until meat is browned on all sides; about 3 to 5 minutes.', 'Pour 2 cups water, soy sauce, and Worcestershire sauce into the skillet. Stir in garlic powder, salt and pepper. Bring to a boil and reduce heat. Cover and simmer for 1 1/2 to 2 hours.', 'Meanwhile combine the gravy mix with 1 cup water. Mix thoroughly and stir into the meat mixture. Bring to a boil stirring frequently until slightly thickened.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F5487119.jpg,"526 calories; protein 42.5g; carbohydrates 7.5g; fat 35.2g; cholesterol 131.6mg; sodium 1367.5mg.
                                Full Nutrition"
4,Chocolate Crinkles II,"['1 cup unsweetened cocoa powder', '2 cups white sugar', '½ cup vegetable oil', '4  eggs', '2 teaspoons vanilla extract', '2 cups all-purpose flour', '2 teaspoons baking powder', '½ teaspoon salt', ""½ cup confectioners' sugar""]","['In a medium bowl, mix together cocoa, white sugar, and vegetable oil.  Beat in eggs one at a time, then stir in the vanilla. Combine the flour, baking powder, and salt; stir into the cocoa mixture. Cover dough, and chill for at least 4 hours.', ""Preheat oven to 350 degrees F (175 degrees C). Line cookie sheets with parchment paper. Roll dough into one inch balls. I like to use a number 50 size scoop. Coat each ball in confectioners' sugar before placing onto prepared cookie sheets."", 'Bake in preheated oven for 10 to 12 minutes. Let stand on the cookie sheet for a minute before transferring to wire racks to cool.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F430444.jpg,"58 calories; protein 0.9g; carbohydrates 9.8g; fat 2g; cholesterol 10.3mg; sodium 33.9mg.
                                Full Nutrition"
5,Angel Food Cake I,"['1\u2009¼ cups cake flour', '1\u2009¾ cups white sugar', '¼ teaspoon salt', '1\u2009½ cups egg whites', '1 teaspoon cream of tartar', '½ teaspoon vanilla extract', '½ teaspoon almond extract']","['Beat egg whites until they form stiff peaks, and then add cream of tartar, vanilla extract, and almond extract.', 'Sift together flour, sugar, and salt.  Repeat five times.', 'Gently combine the egg whites with the dry ingredients, and then pour into an ungreased 10 inch tube pan.', 'Place cake pan in a cold oven.  Turn the oven on; set it to 325 degrees F (165 degrees C).  Cook for about one hour, or until cake is golden brown.', 'Invert cake, and allow it to cool in the pan.  When thoroughly cooled, remove from pan.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F457170.jpg,"137 calories; protein 3.4g; carbohydrates 30.9g; fat 0.1g; sodium 74.5mg.
                                Full Nutrition"
6,Melt In Your Mouth Blueberry Cake,"['½ cup butter', '½ cup white sugar', '¼ teaspoon salt', '1 teaspoon vanilla extract', '2  egg yolks', '1\u2009½ cups all-purpose flour', '1 teaspoon baking powder', '⅓ cup milk', '2  egg whites', '¼ cup white sugar', '1\u2009½ cups fresh blueberries', '1 tablespoon all-purpose flour', '1 tablespoon white sugar']","['Preheat oven to 350 degrees F (175 degrees C).  Grease and flour an 8 inch square pan.', 'Cream butter or margarine and 1/2 cup sugar until fluffy.  Add salt and vanilla.  Separate eggs and reserve the whites.   Add egg yolks to the sugar mixture; beat until creamy.', 'Combine 1 1/2 cups flour and baking powder; add alternately with milk to egg yolk mixture.  Coat berries with 1 tablespoon flour and add to batter.', 'In a separate bowl, beat whites until soft peaks form.  Add 1/4 cup of sugar, 1 tablespoon at a time, and beat until stiff peaks form.  Fold egg whites into batter.  Pour into prepared pan.  Sprinkle top with remaining 1 tablespoon sugar.', 'Bake for 50 minutes, or until cake tests done.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F242130.jpg,"206 calories; protein 3.2g; carbohydrates 29.2g; fat 8.8g; cholesterol 55mg; sodium 157.4mg.
                                Full Nutrition"
7,Microwave Corn on the Cob,"['1 ear corn, husked and cleaned']","['Wet a paper towel, and wring out. Wrap the ear of corn in the moist towel, and place on a dinner plate. Cook in the microwave for 5 minutes. Carefully remove paper towel, and enjoy!']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F838726.jpg,"123 calories; protein 4.6g; carbohydrates 27.2g; fat 1.7g; sodium 21.5mg.
                                Full Nutrition"
8,Joey's Peanut Butter Cookies,"['1 cup peanut butter', '½ cup butter, softened', '½ cup white sugar', '½ cup packed brown sugar', '1  egg', '3 tablespoons milk', '1 teaspoon vanilla extract', '1\u2009¼ cups all-purpose flour', '¾ teaspoon baking powder', '¼ teaspoon salt']","['Preheat oven to 375  degrees F (190 degrees C).', 'In a large bowl, cream together the peanut butter, butter, white sugar, and brown sugar until well blended. Beat in the egg, milk, and vanilla one at a time. Combine the flour, baking powder, and salt; stir into creamed mixture. Roll tablespoonfuls of dough into balls. Place cookies 2 inches apart onto ungreased cookie sheets. Press each ball once with fork tines.', 'Bake for 8 to 10 minutes in the preheated oven, or until edges are lightly browned.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F746137.jpg,"106 calories; protein 2.5g; carbohydrates 10.6g; fat 6.4g; cholesterol 12mg; sodium 80.8mg.
                                Full Nutrition"
9,Jeff's Hot Dog Chili,"['1 pound ground beef', '⅓ cup water', '½ (10 ounce) can tomato sauce', '½ cup ketchup', '2\u2009½ teaspoons chili powder', '½ teaspoon salt', '½ teaspoon ground black pepper', '½ teaspoon white sugar', '½ teaspoon onion powder', '1 dash Worcestershire sauce']","['Place ground beef in a large saucepan with water and mash the beef with a potato masher to break apart. Stir in tomato sauce, ketchup, chili powder, salt, black pepper, sugar, onion powder, and Worcestershire sauce. Bring to a boil and cook over medium heat until the chili has thickened slightly and the beef is fully cooked, about 20 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F869971.jpg,"168 calories; protein 13.6g; carbohydrates 7.5g; fat 9.4g; cholesterol 47.3mg; sodium 594.7mg.
                                Full Nutrition"
