,title,ingredients,instructions,picture_link,nutrition_text
0,Simple Roasted Butternut Squash,"['1  butternut squash - peeled, seeded, and cut into 1-inch cubes', '2 tablespoons olive oil', '2 cloves garlic, minced', 'salt and ground black pepper to taste']","['Preheat oven to 400 degrees F (200 degrees C).', 'Toss butternut squash with olive oil and garlic in a large bowl. Season with salt and black pepper. Arrange coated squash on a baking sheet.', 'Roast in the preheated oven until squash is tender and lightly browned, 25 to 30 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F957758.jpg,"177 calories; protein 2.6g; carbohydrates 30.3g; fat 7g; sodium 10.6mg.
                                Full Nutrition"
1,Simple Crustless Spinach and Mushroom Quiche,"['2 tablespoons butter', '2 cups sliced mushrooms', '2 cups reduced-fat sour cream', '4  eggs', '½ cup grated Parmesan cheese', '¼ cup all-purpose flour', '1 tablespoon heavy whipping cream', '1 teaspoon onion powder', '¼ teaspoon garlic powder', '¼ teaspoon salt', '6 drops hot pepper sauce, or more to taste', '½ (10 ounce) package frozen chopped spinach, thawed and drained', '2 cups shredded Cheddar cheese']","['Preheat oven to 350 degrees F (175 degrees C).', 'Grease a 10-inch pie dish.', 'Melt butter in a skillet over medium heat; cook and stir sliced mushrooms until tender, about 5 minutes. Drain excess liquid, if necessary; set mushrooms aside.', 'Place sour cream, eggs, Parmesan cheese, flour, cream, onion powder, garlic powder, salt, and hot pepper sauce in a blender; blend until smooth, 30 seconds to 1 minute. Pour egg mixture into a large bowl.', 'Stir mushrooms, spinach, and Cheddar cheese into egg mixture. Pour into prepared pie dish.', 'Bake in the preheated oven until lightly browned and a toothpick inserted into the middle of the quiche comes out clean, about 45 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1125738.jpg,"412 calories; protein 20.8g; carbohydrates 10.6g; fat 32.4g; cholesterol 214.4mg; sodium 582.9mg.
                                Full Nutrition"
2,Creamy Italian Slow Cooker Chicken,"['4 (4 ounce) skinless, boneless chicken breast halves', '2 tablespoons butter, melted', '1 (4 ounce) package cream cheese, cubed', '1 (10.75 ounce) can  condensed cream of chicken soup', '1\u2009½ (.7 ounce) packages dry Italian-style salad dressing mix', '½ cup dry sherry']","['Rinse chicken, and pat dry with paper towels. Place chicken breasts into a slow cooker, and drizzle melted butter all over the chicken breasts, lifting them up to allow butter to flow underneath the chicken. Cover the cooker, set to High, and cook until tender, 4 to 5 hours. With a metal spatula, chop up the chicken into bite-size pieces in the slow cooker.', 'Place the cream cheese, cream of chicken soup, Italian salad dressing mix, and sherry into a saucepan over medium heat, and bring to a boil, stirring constantly until the cream cheese has melted and the sauce is well combined. Pour the sauce over the chicken in the slow cooker; cover, and cook on High until the flavors have blended and the sauce is bubbling, about 30 more minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1924935.jpg,"385 calories; protein 26.9g; carbohydrates 14.6g; fat 22.4g; cholesterol 113.3mg; sodium 2045.9mg.
                                Full Nutrition"
3,German Hamburgers (Frikadellen),"['1  Kaiser roll', '⅔ pound ground beef', '⅓ pound ground pork', '1  onion, finely chopped', '¼ cup chopped fresh parsley', '1  egg', '1 teaspoon Hungarian hot paprika  (Optional)', 'salt and ground black pepper to taste']","['Soak Kaiser roll in a bowl of water for 10 minutes. Drain, squeezing out excess water, and crumble into a large bowl.', 'Mix crumbled roll with ground beef, ground pork, onion, parsley, egg, paprika, salt, and black pepper until well blended. Shape meat into large flattened meatballs.', 'Heat a large nonstick skillet over medium heat; fry meatballs until browned and no longer pink in the center, about 5 minutes per side.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2065105.jpg,"272 calories; protein 22.4g; carbohydrates 8.5g; fat 16g; cholesterol 116.8mg; sodium 137.8mg.
                                Full Nutrition"
4,Fajita Seasoning,"['1 tablespoon cornstarch', '2 teaspoons chili powder', '1 teaspoon salt', '1 teaspoon paprika', '1 teaspoon white sugar', '½ teaspoon onion powder', '½ teaspoon garlic powder', '¼ teaspoon cayenne pepper', '½ teaspoon ground cumin']","['Stir cornstarch, chili powder, salt, paprika, sugar, onion powder, garlic powder, cayenne pepper, and cumin together in a small bowl.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1035254.jpg,"21 calories; protein 0.4g; carbohydrates 4.6g; fat 0.4g; sodium 595.8mg.
                                Full Nutrition"
5,The Real Mojito,"['10  fresh mint leaves', '½  lime, cut into 4 wedges', '2 tablespoons white sugar, or to taste', '1 cup ice cubes', '1\u2009½ fluid ounces white rum', '½ cup club soda']","['Place mint leaves and 1 lime wedge into a sturdy glass. Use a muddler to crush the mint and lime to release the mint oils and lime juice. Add 2 more lime wedges and the sugar, and muddle again to release the lime juice. Do not strain the mixture. Fill the glass almost to the top with ice. Pour the rum over the ice, and fill the glass with carbonated water. Stir, taste, and add more sugar if desired. Garnish with the remaining lime wedge.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F679757.jpg,"193 calories; protein 0g; carbohydrates 25g; fat 0g; cholesterol 0mg; sodium 10.7mg.
                                Full Nutrition"
6,Tatertot Casserole,"['1 pound ground beef', '1 pinch salt and ground black pepper to taste', '1 (10.75 ounce) can  condensed cream of mushroom soup', '2 cups shredded Cheddar cheese', '1 (16 ounce) package frozen tater tots']","['Preheat oven to 350 degrees F (175 degrees C).', 'Cook and stir ground beef in a large skillet over medium heat until no longer pink and completely browned, 7 to 10 minutes; season with salt and black pepper. Stir cream of mushroom soup into the cooked ground beef; pour the mixture into a 9x13-inch baking dish. Layer tater tots evenly over the ground beef mixture; top with Cheddar cheese.', 'Bake until tater tots are golden brown and hot, 30 to 45 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4482008.jpg,"345 calories; protein 18.5g; carbohydrates 16.9g; fat 23.8g; cholesterol 65.1mg; sodium 700.2mg.
                                Full Nutrition"
7,Baked Pork Chops I,"['6  pork chops', '1 teaspoon garlic powder', '1 teaspoon seasoning salt', '2  egg, beaten', '¼ cup all-purpose flour', '2 cups Italian-style seasoned bread crumbs', '4 tablespoons olive oil', '1 (10.75 ounce) can  condensed cream of mushroom soup', '½ cup milk', '⅓ cup white wine']","['Preheat oven to 350 degrees F (175 degrees C).', 'Rinse pork chops, pat dry, and season with garlic powder and seasoning salt to taste. Place the beaten eggs in a small bowl. Dredge the pork chops lightly in flour, dip in the egg, and coat liberally with bread crumbs.', 'Heat the oil in a medium skillet over medium-high heat. Fry the pork chops 5 minutes per side, or until the breading appears well browned. Transfer the chops to a 9x13 inch baking dish, and cover with foil.', 'Bake in the preheated oven for 1 hour. While baking, combine the cream of mushroom soup, milk and white wine in a medium bowl. After the pork chops have baked for an hour, cover them with the soup mixture. Replace foil, and bake for another 30 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F642155.jpg,"457 calories; protein 29.9g; carbohydrates 36g; fat 19.9g; cholesterol 128.5mg; sodium 1142.4mg.
                                Full Nutrition"
8,Slow Cooker Beef Stew I,"['2 pounds beef stew meat, cut into 1-inch pieces', '¼ cup all-purpose flour', '½ teaspoon salt', '½ teaspoon ground black pepper', '1 clove garlic, minced', '1  bay leaf', '1 teaspoon paprika', '1 teaspoon Worcestershire sauce', '1  onion, chopped', '1\u2009½ cups beef broth', '3  potatoes, diced', '4  carrots, sliced', '1 stalk celery, chopped']","['Place meat in slow cooker. In a small bowl mix together the flour, salt, and pepper; pour over meat, and stir to coat meat with flour mixture. Stir in the garlic, bay leaf, paprika, Worcestershire sauce, onion, beef broth, potatoes, carrots, and celery.', 'Cover, and cook on Low setting for 10 to 12 hours, or on High setting for 4 to 6 hours.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F276397.jpg,"576 calories; protein 44.1g; carbohydrates 29.8g; fat 30.3g; cholesterol 131.5mg; sodium 541.5mg.
                                Full Nutrition"
9,Braised Corned Beef Brisket,"['1 (5 pound) flat-cut corned beef brisket', '1 tablespoon browning sauce (such as Kitchen Bouquet®), or as desired', '1 tablespoon vegetable oil', '1  onion, sliced', '6 cloves garlic, sliced', '2 tablespoons water']","['Preheat oven to 275 degrees F (135 degrees C).', 'Discard any flavoring packet from corned beef. Brush brisket with browning sauce on both sides. Heat vegetable oil in a large skillet over medium-high heat and brown brisket on both sides in the hot oil, 5 to 8 minutes per side.', 'Place brisket on a rack set in a roasting pan. Scatter onion and garlic slices over brisket and add water to roasting pan. Cover pan tightly with aluminum foil.', 'Roast in the preheated oven until meat is tender, about 6 hours.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F995620.jpg,"455 calories; protein 30.6g; carbohydrates 5.4g; fat 33.7g; cholesterol 162mg; sodium 1877.4mg.
                                Full Nutrition"
