,title,ingredients,instructions,picture_link,nutrition_text
0,Basic Chicken Salad,"['½ cup mayonnaise', '1 tablespoon lemon juice', '¼ teaspoon ground black pepper', '2 cups chopped, cooked chicken meat', '½ cup blanched slivered almonds', '1 stalk celery, chopped']","['Place almonds in a frying pan. Toast over medium-high heat, shaking frequently. Watch carefully, as they burn easily.', 'In a medium bowl, mix together mayonnaise, lemon juice, and pepper. Toss with chicken, almonds, and celery.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1105316.jpg,"779 calories; protein 44.3g; carbohydrates 8.4g; fat 63.1g; cholesterol 125.9mg; sodium 403mg.
                                Full Nutrition"
1,Easy Hamantaschen,"['3  eggs', '1 cup granulated sugar', '¾ cup vegetable oil', '2\u2009½ teaspoons vanilla extract', '½ cup orange juice', '5\u2009½ cups all-purpose flour', '1 tablespoon baking powder', '1 cup fruit preserves, any flavor']","['Preheat oven to 350 degrees F (175 degrees C). Grease cookie sheets.', 'In a large bowl, beat the eggs and sugar until lightly and fluffy. Stir in the oil, vanilla and orange juice. Combine the flour and baking powder; stir into the batter to form a stiff dough. If dough is not stiff enough to roll out, stir in more flour. On a lightly floured surface, roll dough out to 1/4 inch in thickness. Cut into circles using a cookie cutter or the rim or a drinking glass. Place cookies 2 inches apart onto the prepared cookie sheets. Spoon about 2 teaspoons of preserves into the center of each one. Pinch the edges to form three corners.', 'Bake for 12 to 15 minutes in the preheated oven, or until lightly browned. Allow cookies to cool for 1 minute on the cookie sheet before removing to wire racks to cool completely.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F2169022.jpg,"246 calories; protein 3.8g; carbohydrates 40g; fat 7.7g; cholesterol 23.3mg; sodium 55.6mg.
                                Full Nutrition"
2,Beef Flautas,"['1 tablespoon canola oil', '2 pounds boneless beef chuck roast, cut into chunks', '1 pound tomatoes, chopped', '4 cups water', '1 medium onion, chopped', '4 medium jalapeno peppers, diced', '1 cup chopped fresh cilantro, divided', '5 cloves garlic, smashed', '2 tablespoons ground cumin', 'salt and ground black pepper to taste', '2 medium limes, juiced', '1 cup shredded Monterey Jack cheese', '12 (6 inch) flour tortillas, warmed']","['Heat oil in a large Dutch oven or pot over medium heat. Add beef and saute, working in batches if needed, until browned, 5 to 7 minutes. Add tomatoes, water, onion, jalapenos, 1/2 cup cilantro, garlic, cumin, salt, and pepper; bring to a boil. Lower heat to a simmer and cook until meat is tender, about 2 hours.', 'Preheat the oven to 350 degrees F (175 degrees C). Grease a cookie sheet.', 'Remove beef from the pot, shred with 2 forks, and toss with remaining cilantro, lime juice, and more salt and pepper.', 'Take each tortilla and place 2 tablespoons of the shredded beef and some Monterey Jack cheese into it. Roll tightly and place on the prepared cookie sheet.', 'Bake in the preheated oven until flautas are golden and crisp, about 15 minutes, turning once halfway through. Remove from the oven and cut in half before serving.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F9035333.jpg,"524 calories; protein 28.3g; carbohydrates 36.3g; fat 29.8g; cholesterol 85.4mg; sodium 490mg.
                                Full Nutrition"
3,"Broccoli, Rice, Cheese, and Chicken Casserole","['2 cups water', '2 cups uncooked instant rice', '2 (10 ounce) cans chunk chicken, drained', '1 (10.75 ounce) can  condensed cream of mushroom soup', '1 (10.75 ounce) can  condensed cream of chicken soup', '¼ cup butter', '1 cup milk', '1 (16 ounce) package frozen chopped broccoli', '1 small white onion, chopped', '1 pound processed cheese food']","['Preheat oven to 350 degrees F (175 degrees C).', 'In a medium saucepan, bring the water to a boil. Mix in the instant rice, cover, and remove from heat. Let stand 5 minutes.', 'In a 9x13 inch baking dish, mix the prepared rice, chicken, cream of mushroom soup, cream of chicken soup, butter, milk, broccoli, onion, and processed cheese.', 'Bake in the preheated oven for 30 to 35 minutes, or until cheese is melted. Stir halfway through cooking to help cheese melt evenly.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F3878110.jpg,"756 calories; protein 36g; carbohydrates 82.7g; fat 30.8g; cholesterol 109.5mg; sodium 1642.3mg.
                                Full Nutrition"
4,Chocolate Chip Muffins,"['2 cups all-purpose flour', '½ cup white sugar', '3 teaspoons baking powder', '½ teaspoon salt', '¾ cup milk', '⅓ cup vegetable oil', '1  egg', '¾ cup mini semi-sweet chocolate chips', '3 tablespoons white sugar', '2 tablespoons brown sugar']","['Heat oven to 400 degrees F (205 degrees C). Grease bottoms only of 12 muffin cups or line with baking cups.', 'In a medium bowl, combine flour, 1/2 cup sugar, baking powder, chocolate chips, and salt; mix well. In a small bowl, combine milk, oil and egg; blend well. Add dry ingredients all at once; stir just until dry ingredients are moistened (batter will be lumpy.)', 'Fill cups 2/3 full.  Sprinkle tops of muffins before baking with a combination of 3 tablespoons sugar and 2 tablespoon brown sugar.', 'Bake for 20 to 25 minutes or until toothpick inserted in center comes out clean. Cool 1 minute before removing from pan. Serve warm.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4470819.jpg,"249 calories; protein 3.6g; carbohydrates 37.5g; fat 10.3g; cholesterol 16.7mg; sodium 233.1mg.
                                Full Nutrition"
5,Quick Beef Stir-Fry,"['2 tablespoons vegetable oil', '1 pound beef sirloin, cut into 2-inch strips', '1\u2009½ cups fresh broccoli florets', '1  red bell pepper, cut into matchsticks', '2  carrots, thinly sliced', '1  green onion, chopped', '1 teaspoon minced garlic', '2 tablespoons soy sauce', '2 tablespoons sesame seeds, toasted']","['Heat vegetable oil in a large wok or skillet over medium-high heat; cook and stir beef until browned, 3 to 4 minutes. Move beef to the side of the wok and add broccoli, bell pepper, carrots, green onion, and garlic to the center of the wok. Cook and stir vegetables for 2 minutes.', 'Stir beef into vegetables and season with soy sauce and sesame seeds. Continue to cook and stir until vegetables are tender, about 2 more minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F6263320.jpg,"268 calories; protein 22.6g; carbohydrates 9.1g; fat 15.8g; cholesterol 48.9mg; sodium 526.2mg.
                                Full Nutrition"
6,Peanut Butter Banana Smoothie,"['2  bananas, broken into chunks', '2 cups milk', '½ cup peanut butter', '2 tablespoons honey, or to taste', '2 cups ice cubes']","['Place bananas, milk, peanut butter, honey, and ice cubes in a blender; blend until smooth, about 30 seconds.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1011848.jpg,"335 calories; protein 12.8g; carbohydrates 34.1g; fat 18.8g; cholesterol 9.8mg; sodium 202.8mg.
                                Full Nutrition"
7,Honey-Garlic Slow Cooker Chicken Thighs,"['4  skinless, boneless chicken thighs', '½ cup soy sauce', '½ cup ketchup', '⅓ cup honey', '3 cloves garlic, minced', '1 teaspoon dried basil']","['Lay chicken thighs into the bottom of a 4-quart slow cooker.', 'Whisk soy sauce, ketchup, honey, garlic, and basil together in a bowl; pour over the chicken.', 'Cook on Low for 6 hours.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1411947.jpg,"325 calories; protein 21.9g; carbohydrates 34.2g; fat 11.9g; cholesterol 70.9mg; sodium 2203.7mg.
                                Full Nutrition"
8,Best Cream Of Broccoli Soup,"['5 tablespoons butter, divided', '1  onion, chopped', '1 stalk celery, chopped', '3 cups chicken broth', '8 cups broccoli florets', '3 tablespoons all-purpose flour', '2 cups milk', 'ground black pepper to taste']","['Melt 2 tablespoons butter in medium sized stock pot, and saute onion and celery until tender. Add broccoli and broth, cover and simmer for 10 minutes.', 'Pour the soup into a blender, filling the pitcher no more than halfway full. Hold down the lid of the blender with a folded kitchen towel, and carefully start the blender, using a few quick pulses to get the soup moving before leaving it on to puree. Puree in batches until smooth and pour into a clean pot. Alternately, you can use a stick blender and puree the soup right in the cooking pot.', 'In small saucepan, over medium-heat melt 3 tablespoons butter, stir in flour and add milk.  Stir until thick and bubbly, and add to soup.  Season with pepper and serve.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F4223268.jpg,"207 calories; protein 9.2g; carbohydrates 17g; fat 12.4g; cholesterol 31.9mg; sodium 528mg.
                                Full Nutrition"
9,Slow Cooker Baby Back Ribs,"['3 pounds baby back ribs, trimmed', 'salt and ground black pepper, to taste', '½ cup water', '½  onion, sliced', '1 clove garlic, minced', '1 (18 ounce) bottle barbeque sauce']","['Season ribs with salt and pepper.', 'Pour water into slow cooker. Layer the ribs into the slow cooker. Top the ribs with onion and garlic.', 'Cook on High for 4 hours (or Low for 8 hours).', 'Preheat oven to 375 degrees F (190 degrees C).', 'Transfer ribs to a baking sheet. Discard onion and garlic. Coat ribs with barbeque sauce.', 'Bake in preheated oven until the sauce caramelizes and sticks to the meat, 10 to 15 minutes.']",https://imagesvc.meredithcorp.io/v3/mm/image?url=https%3A%2F%2Fimages.media-allrecipes.com%2Fuserphotos%2F1073048.jpg,"501 calories; protein 24.3g; carbohydrates 32.4g; fat 29.6g; cholesterol 117mg; sodium 1067.4mg.
                                Full Nutrition"
